state,bill_id,novelty,novelty_corpus,professionalism,gov_control,direction,mechanism,advocacy_raw,log_advocacy
Virginia,HJR 594,0.846568,0.846568,0.363,Divided,Restrictive,Constitutional,606720.2986295095,13.315824819016374
Virginia,SB 798,0.670548,0.660796,0.363,Divided,Restrictive,Proc_Ban,606720.2986295095,13.315824819016374
Virginia,SB 975,0.528693,0.513239,0.363,Divided,Restrictive,Definitional,606720.2986295095,13.315824819016374
Virginia,SB 1538,0.769777,0.513239,0.363,Divided,Protective,Funding,606720.2986295095,13.315824819016374
Washington,HB 2115,0.897009,0.731628,0.54,Unified Democratic,Protective,Shield,0.0,0.0
Washington,HB 1155,0.193251,0.193251,0.54,Unified Democratic,Protective,Shield,0.0,0.0
Washington,SB 5242,0.792618,0.704702,0.54,Unified Democratic,Protective,Funding,0.0,0.0
Washington,SB 5768,0.878504,0.704702,0.54,Unified Democratic,Protective,Shield,0.0,0.0
Washington,SB 5187,0.577315,0.577315,0.54,Unified Democratic,Protective,Funding,0.0,0.0
West Virginia,HB 2002,0.635363,0.635363,0.209,Unified Republican,Restrictive,Funding,0.0,0.0
West Virginia,HB 3199,0.897782,0.736281,0.209,Unified Republican,Neutral,Definitional,0.0,0.0
West Virginia,HB 3302,0.759168,0.759168,0.209,Unified Republican,Neutral,Criminal,0.0,0.0
West Virginia,SB 552,0.793735,0.736281,0.209,Unified Republican,Restrictive,Criminal,0.0,0.0
Wisconsin,SB 196,0.564001,0.564001,0.446,Divided,Restrictive,Proc_Ban,,
Wyoming,HB 152,0.764302,0.441121,0.174,Unified Republican,Restrictive,Criminal,202210.05953206497,12.217067280077014
Wyoming,SB 109,0.882095,0.441121,0.174,Unified Republican,Restrictive,Proc_Ban,202210.05953206497,12.217067280077014
